Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,22pf,C_0805_2012Metric,-32.65,-36.575,45,bottom
C1,22pf,C_0805_2012Metric,-37.3,-41.2,-135,bottom
C2,1uf,C_0805_2012Metric,-25.3,-35.5,90,bottom
C3,.1uf / 100nf,C_0805_2012Metric,-27.05,-14.075,90,bottom
C4,.1uf / 100nf,C_0805_2012Metric,-29.15,-14.1,90,bottom
C5,10uf,C_0805_2012Metric,-31.2,-14.1,90,bottom
D1,BAV70_Small,SOT-23,-44.1,-17.6,-90,bottom
D14,BAV70_Small,SOT-23,-168.55,-17,-90,bottom
D114,BAV70_Small,SOT-23,-168.6,-35.6,-90,bottom
D203,BAV70_Small,SOT-23,-47.75,-17.6,-90,bottom
D405,BAV70_Small,SOT-23,-51.45,-17.6,-90,bottom
D414,BAV70_Small,SOT-23,-58.775,-72.05,90,bottom
D607,BAV70_Small,SOT-23,-55.1,-17.6,-90,bottom
D809,BAV70_Small,SOT-23,-157.6,-17,-90,bottom
D1011,BAV70_Small,SOT-23,-44.125,-35.2,-90,bottom
D1213,BAV70_Small,SOT-23,-47.85,-35.2,-90,bottom
D1415,BAV70_Small,SOT-23,-51.525,-35.2,-90,bottom
D1617,BAV70_Small,SOT-23,-55.2,-35.2,-90,bottom
D1819,BAV70_Small,SOT-23,-157.45,-35.2,-90,bottom
D2021,BAV70_Small,SOT-23,-44.15,-38.9,90,bottom
D2324,BAV70_Small,SOT-23,-47.8,-38.9,90,bottom
D2526,BAV70_Small,SOT-23,-51.5,-38.9,90,bottom
D2728,BAV70_Small,SOT-23,-55.15,-38.7,90,bottom
D3031,BAV70_Small,SOT-23,-44.15,-55,90,bottom
D3334,BAV70_Small,SOT-23,-47.85,-55,90,bottom
D3536,BAV70_Small,SOT-23,-51.45,-55,90,bottom
D3738,BAV70_Small,SOT-23,-55.1,-55,90,bottom
D4041,BAV70_Small,SOT-23,-44.15,-72.05,90,bottom
D4344,BAV70_Small,SOT-23,-47.8,-72.05,90,bottom
D10011,BAV70_Small,SOT-23,-161.25,-17,-90,bottom
D12013,BAV70_Small,SOT-23,-164.9,-17,-90,bottom
D29210,BAV70_Small,SOT-23,-161.2,-39.2,90,bottom
D39310,BAV70_Small,SOT-23,-168.7,-55,90,bottom
D110111,BAV70_Small,SOT-23,-161.2,-35.2,-90,bottom
D112113,BAV70_Small,SOT-23,-164.95,-35.2,-90,bottom
D211212,BAV70_Small,SOT-23,-164.95,-39.15,90,bottom
D213214,BAV70_Small,SOT-23,-168.65,-39.15,90,bottom
D311312,BAV70_Small,SOT-23,-172.45,-55,90,bottom
D313314,BAV70_Small,SOT-23,-176.2,-55,90,bottom
D410411,BAV70_Small,SOT-23,-51.45,-72.05,90,bottom
D412413,BAV70_Small,SOT-23,-55.1,-72.05,90,bottom
F0,Polyfuse,Fuse_1206_3216Metric,-24.8,-13.475,-90,bottom
G***,LOGO,vial_logo,-169.2,-90.2,180,bottom
G***,LOGO,qmk,-159,-82.8,180,bottom
J0,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-18.6,-2.95,0,bottom
R0,10k,R_0805_2012Metric,-22.35,-40.25,180,bottom
R1,22,R_0805_2012Metric,-20.5,-16.525,-90,bottom
R2,22,R_0805_2012Metric,-18.35,-16.525,-90,bottom
R3,5.1k,R_0805_2012Metric,-16.15,-12.875,-90,bottom
R4,5.1k,R_0805_2012Metric,-22.625,-12.875,-90,bottom
R5,10k,R_0805_2012Metric,-31.2,-35.1,-135,bottom
SW0,SW_PUSH,SW_SPST_TL3342,-18.2,-35.4,180,bottom
U0,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,-29.66,-44.57,-135,bottom
U1,SRV05-4,SOT-23-6,-19.375,-12.875,180,bottom
Y0,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-35,-38.925,-45,bottom
j1,JST ai30 daughterboard,Aio3_jst,-35.95,-14.95,90,bottom
